ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
58,simple,786005,FREEDOM COVERALL,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"Freedom, SAFETY EQUIPMENTS",Product,,http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_feaf4b0399cd489983740086acd23ca0mv2.png,,,,,,,,,0,,,,,,,,
14267,simple,201476,DEWALT AIR BLOWER 110V 800W DWB800-B4,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,0,10,"DEWALT, POWER TOOLS",,,http://alhadiyya.korvage.com/wp-content/uploads/2024/07/623cc5_6460efe6e2474a15bf5b445484bd7e93mv2.png,,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
14270,simple,208236,"METABO ANGLE GRINDER  7"" MTB-606434010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,0,10,"METABO, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/623cc5_8e7aab6a7618469cbf3c04867f9fb1demv2-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/623cc5_8e7aab6a7618469cbf3c04867f9fb1demv2-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,METABO,1,1
14277,simple,786006,FREEDOM SHOVELS,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,Product,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_0f6863913a814e17aba992581995530fmv2.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_0f6863913a814e17aba992581995530fmv2.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/623cc5_8e7aab6a7618469cbf3c04867f9fb1demv2-1.jpg",,,,,,,,,0,,,,,,,,
15650,simple,7860008,FREEDOM SAFETY JACKETS,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_354637cf601b423a84e10d54e623cb59mv2.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_354637cf601b423a84e10d54e623cb59mv2.png",,,,,,,,,0,,,,,,,,
15651,simple,786007,FREEDOM SAFETY GLASSES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_e19fa76fcbf44db89be91293ba73ca3e_mv2-removebg-preview.png, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_e19fa76fcbf44db89be91293ba73ca3e_mv2-removebg-preview.png",,,,,,,,,0,,,,,,,,
15652,simple,786004,FREEDOM HAMMERS,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,,,http://alhadiyya.korvage.com/wp-content/uploads/2024/07/266f6a_598376d1ad934cf7ab72056bded99c68mv2.webp,,,,,,,,,0,,,,,,,,
15653,simple,786003,FREEDOM LEATHER WORKING GOLVES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786003-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786003-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/Freedom-logo-1-1.jpg",,,,,,,,,0,,,,,,,,
15654,simple,786002,FREEDOM WELDING GLOVES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,Freedom,,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786002-1.jpeg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786002-1.jpeg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/Freedom-logo-1-1.jpg",,,,,,,,,0,,,,,,,,
15655,simple,786001,FREEDOM STEEL NAIL,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"Freedom, PIPE FITTINGS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786001-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/786001-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/Freedom-logo-1-1.jpg",,,,,,,,,0,,,,,,,,
15656,simple,204002,AC GAS R-22 INDIA,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"FLORON, REFRIGERATION",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204002_AC-GAS-R-22-INDIA-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/204002_AC-GAS-R-22-INDIA-1.jpg",,,,,,,,,0,UOM,NOS,1,1,BRAND,FLORON,1,1
15657,simple,211614,AC GAS R-404,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"FLORON, REFRIGERATION",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211614_AC-GAS-R-404-1.jpeg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/211614_AC-GAS-R-404-1.jpeg",,,,,,,,,0,UOM,NOS,1,1,BRAND,FLORON,1,1
15658,simple,205020,DEWALT AIR BLOWER DWB800-B4 220V,1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,10,"DEWALT, POWER TOOLS",,,"http://alhadiyya.korvage.com/wp-content/uploads/2024/07/205020_DEWALT-AIR-BLOWER-DWB800-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/205020_DEWALT-AIR-BLOWER-DWB800-1.jpg, http://alhadiyya.korvage.com/wp-content/uploads/2024/07/dewalt-logo-1.png",,,,,,,,,0,UOM,NOS,1,1,BRAND,DEWALT,1,1
